Question:問題文,Options[0]:正解選択肢,Options[1]:不正解選択肢1,Options[2]:不正解選択肢2,Options[3]:不正解選択肢3,Supplement:捕捉情報,Difficulty:難易度
"非線形な分離に不適切なカーネルはどれか？","線形カーネル","RBFカーネル","多項式カーネル","シグモイドカーネル","線形カーネルでは線形分離しかできない",1
"固有値と固有ベクトルを求めるための分解はどれか？","固有値分解","特異値分解","QR分解","LU分解","固有値分解は行列の固有値と固有ベクトルを求める方法です。",1
"次のうち、確率密度関数を持たないものはどれか？","確率質量関数","ガウス分布","t分布","ベルヌーイ分布","確率質量関数は離散型の分布で、確率密度関数を持ちません。",1
"次元圧縮において、主成分分析でよく使用される手法はどれか？","主成分分析","k-meansクラスタリング","線形回帰","ロジスティック回帰","主成分分析（PCA）は次元圧縮のために使用される手法です。",1
"ナイーブベイズ分類器の主要な仮定は何か？","特徴の独立性","特徴の従属性","線形分離可能性","非線形分離可能性","ナイーブベイズ分類器は、すべての特徴が互いに独立であると仮定します。",1
"ニューラルネットワークの活性化関数の一つであり、勾配消失問題を軽減するために使用されるものはどれか？","ReLU","シグモイド関数","ソフトマックス関数","ハイパボリックタンジェント関数","ReLU（Rectified Linear Unit）は勾配消失問題を軽減するために使用されます。",1
"次のうち、バギングの一種であり、多数の決定木を使用して予測を行う手法はどれか？","Random Forest","アンサンブル","ブースティング","k-meansクラスタリング","Random Forestはバギングの一種であり、多数の決定木を使用して予測を行います。",2
"深層学習モデルのトレーニングにおいて、学習率を動的に調整するアルゴリズムの一つはどれか？","Adam","SGD","モメンタム","Nesterov Accelerated Gradient","Adamは学習率を動的に調整するアルゴリズムの一つです。",2
"確率モデルにおけるパラメータ推定において、最も一般的に使用される手法はどれか？","最尤推定","最小二乗法","ベイズ推定","MAP推定","最尤推定は確率モデルにおけるパラメータ推定の最も一般的な手法です。",1
"次のうち、教師なし学習の手法はどれか？","k-meansクラスタリング","線形回帰","ロジスティック回帰","サポートベクターマシン","k-meansクラスタリングは教師なし学習の手法です。",1
"深層学習におけるドロップアウトの目的は何か？","過学習の防止","計算コストの削減","モデルの拡張","データの前処理","ドロップアウトは過学習を防止するための技術です。",1
"次のうち、勾配消失問題を緩和するために設計された活性化関数はどれか？","ReLU","シグモイド関数","ソフトマックス関数","線形関数","ReLU（Rectified Linear Unit）は勾配消失問題を緩和するために設計されました。",1
"RNNの中でも、長期依存関係を捉えるために設計されたものはどれか？","LSTM","単純RNN","GRU","トランスフォーマー","LSTM（Long Short-Term Memory）は長期依存関係を捉えるために設計されました。",1
"次のうち、決定木のアンサンブル学習の一種で、過学習を防ぐためにランダムな特徴量の選択を行う手法はどれか？","ランダムフォレスト","ブースティング","アダブースト","バギング","ランダムフォレストは過学習を防ぐためにランダムな特徴量の選択を行います。",2
"強化学習において、エージェントが環境から得た報酬に基づいて行動を学習するアルゴリズムはどれか？","Q学習","K近傍法","主成分分析","ロジスティック回帰","Q学習は強化学習のアルゴリズムです。",2
"次のうち、自己教師あり学習の一種として使用される手法はどれか？","コントラスト学習","サポートベクターマシン","決定木","ランダムフォレスト","コントラスト学習は自己教師あり学習の一種です。",3
"次のうち、確率分布のエントロピーを測定するための尺度はどれか？","エントロピー","自己情報量","相互情報量","クロスエントロピー","エントロピーは確率分布の不確実性を測定するための尺度です。",1
"パターン認識において、k近傍法の主な利点は何か？","単純な実装","高い計算効率","低いメモリ使用量","非線形分離可能性の処理","k近傍法は単純に実装できる点が主な利点です。",1
"次のうち、データセットの次元削減に使用される手法はどれか？","主成分分析","決定木","ランダムフォレスト","ロジスティック回帰","主成分分析（PCA）は次元削減に使用される手法です。",1
"ニューラルネットワークのトレーニングにおいて、学習率を動的に調整するアルゴリズムはどれか？","RMSprop","SGD","モメンタム","最急降下法","RMSpropは学習率を動的に調整するアルゴリズムです。",2
"次のうち、相互情報量を利用して特徴選択を行う手法はどれか？","ミュー情報","カイ二乗検定","線形回帰","主成分分析","ミュー情報は相互情報量を利用して特徴選択を行う手法です。",2
"次のうち、時系列データに適したモデルはどれか？","RNN","ロジスティック回帰","主成分分析","決定木","RNN（リカレントニューラルネットワーク）は時系列データに適したモデルです。",1
